r1c1  battery_large_01  (Battery Mk-L)
r5c9  shippart_fighter_engine2_pod_mk1  (Fighter Engine Pod II)
r5c10  shippart_fighter_engine_pod_mk1  (Fighter Engine Pod)
r6c1  shippart_fighter_hull_mk1  (Fighter Hull)
r6c2  shippart_fighter_wing_mk1  (Fighter Wing)
r6c3  shippart_smuggler_hull_mk1  (Corvette Hull)
r6c4  shippart_smuggler_medium_engine_mk1  (Corvette Medium Engine)
r6c5  shippart_smuggler_turret_mount2_mk1  (Corvette Side Turret Mount)
r6c6  shippart_smuggler_turret_mount_mk1  (Corvette Turret Mount)
r6c7  shippart_smuggler_wing_engine_mk1  (Corvette Wing Engine)
r6c8  shippart_smuggler_wing_mk1  (Corvette Wing)
r6c9  shippart_transporter_cockpit_mk1  (Transporter Cockpit)
r6c10  shippart_transporter_crate_rail_mk1  (Transporter Crate-Push Rail)
r7c1  shippart_transporter_drive_section_mk1  (Transporter Drive Section)
r7c2  shippart_transporter_engine_wing_mk1  (Transporter Engine Wing)
r7c3  shippart_transporter_midframe_mk1  (Transporter Midframe)
r7c4  thruster_front_capital  (Front Thruster (Capital Ship))
r7c5  thruster_front_large  (Front Thruster (Large))
r7c6  thruster_front_medium  (Front Thruster (Medium))
r7c7  thruster_front_small  (Front Thruster (Small))
r7c8  thruster_rear_capital  (Rear Thruster (Capital Ship))
r7c9  thruster_rear_large  (Rear Thruster (Large))
r7c10  thruster_rear_medium  (Rear Thruster (Medium))
r8c1  thruster_rear_small  (Rear Thruster (Small))
r8c2  thruster_side_capital  (Side Thruster (Capital Ship))
r8c3  thruster_side_large  (Side Thruster (Large))
r8c4  thruster_side_medium  (Side Thruster (Medium))
r8c5  thruster_side_small  (Side Thruster (Small))
r8c6  wpn_corvette_plasma_turret_01  (Corvette Plasma Turret)
r8c7  wpn_flak_turret_01  (Flak Turret)
r8c8  wpn_gatling_turret_01  (Gatling Turret)
r8c9  wpn_gauss_railgun_01  (Gauss Railgun)
r8c10  wpn_laser_beam_aa_01  (HELOS Laser)
r9c1  wpn_laser_pd_01  (PD Laser Turret)
r9c2  wpn_marauder_plasma_double_01  (Double Plasma Cannon)
r9c3  wpn_plasma_cannon_front_01  (Light Plasma Cannon)
r9c4  wpn_plasma_lance_01  (Plasma Lance)
r9c5  wpn_scrapper_autocannon_01  (Scrapper Combo Cannon)
r9c6  wpn_scrapper_interceptor_pod_01  (SR Interceptor Pod)
r9c7  commercial_plasma_engine_01  (Light Commercial Plasma Engine)
r9c8  small_plasma_engine_01  (Overclocked Plasma Engine)
r9c9  standard_engine_01  (Standard Rear Engine)
r9c10  thruster_maneuver_capital_01  (Capital Maneuvering Thruster)
r10c1  thruster_maneuver_large_01  (Maneuvering Thruster Array (L))
r10c2  thruster_maneuver_medium_01  (Maneuvering Thruster (M))
r10c3  thruster_maneuver_small_01  (Maneuvering Thruster (S))
r10c4  thruster_steel_small_01  (Steel Thruster)
r10c5  shield_kinetic_deflector_01  (Kinetic Deflector)
r10c6  shield_kinetic_deflector_capital_01  (Capital Kinetic Deflector)
r10c7  shield_kinetic_deflector_heavy_01  (Heavy Kinetic Deflector)
r10c8  shield_kinetic_deflector_light_01  (Light Kinetic Deflector)
r10c9  power_core_capital_01  (Capital Power Core)
r10c10  power_core_fusion_01  (Heavy Fusion Core)
r11c1  power_core_fusion_capital_01  (Capital Fusion Core)
r11c2  power_core_fusion_medium_01  (Fusion Core)
r11c3  power_core_fusion_small_01  (Light Fusion Core)
r11c4  power_core_large_01  (Heavy Power Core)
r11c5  power_core_medium_01  (Power Core)
r11c6  power_core_small_01  (Light Power Core)
r11c7  power_core_standard_01  (Standard Power Core)
r11c8  marauder_sensor_array  (Light Forward Array (Internal))
r11c9  radar_array_medium_01  (Radar Array)
r11c10  scanner_array_01  (Scanner)
r12c1  sensor_wideband_radar_turret_01  (Wide-Band Radar (Turret))
r12c2  sonar_array_medium_01  (Sonar Array)
